Symbol,Date,Open,High,Low,Close,Volume
AEDAUD,11-Jan-2018,0.347,0.347,0.3448,0.3448,0
AEDCAD,11-Jan-2018,0.3415,0.3419,0.3408,0.3408,0
AEDCHF,11-Jan-2018,0.2663,0.2665,0.2656,0.2656,0
AEDDKK,11-Jan-2018,1.6955,1.6967,1.6838,1.6838,0
AEDEUR,11-Jan-2018,0.2277,0.2278,0.2261,0.2261,0
AEDGBP,11-Jan-2018,0.2015,0.2019,0.201,0.201,0
AEDINR,11-Jan-2018,17.326,17.344,17.326,17.334,0
AEDJPY,11-Jan-2018,30.32,30.371,30.281,30.281,0
AEDNOK,11-Jan-2018,2.1964,2.1964,2.18,2.18,0
AEDNZD,11-Jan-2018,0.3779,0.378,0.3745,0.3745,0
AEDPKR,11-Jan-2018,30.133,30.14,30.116,30.116,0
AEDSAR,11-Jan-2018,1.0204,1.0207,1.0198,1.0201,0
AEDSEK,11-Jan-2018,2.2305,2.2305,2.2123,2.2126,0
AEDUSD,11-Jan-2018,0.2722,0.2722,0.2722,0.2722,0
AEDZAR,11-Jan-2018,3.3824,3.4018,3.3639,3.3709,0
ALLGBP,11-Jan-2018,0.0065,0.0065,0.0065,0.0065,0
ARSAUD,11-Jan-2018,0.0684,0.0684,0.0677,0.0677,0
ARSBRL,11-Jan-2018,0.1732,0.1737,0.1717,0.1719,0
ARSCAD,11-Jan-2018,0.0673,0.0675,0.0669,0.0669,0
ARSCHF,11-Jan-2018,0.0525,0.0526,0.0522,0.0522,0
ARSEUR,11-Jan-2018,0.0449,0.0449,0.0444,0.0444,0
ARSGBP,11-Jan-2018,0.0397,0.0398,0.0395,0.0395,0
ARSHKD,11-Jan-2018,0.4197,0.421,0.4179,0.4182,0
ARSHUF,11-Jan-2018,13.869,13.894,13.691,13.705,0
ARSJPY,11-Jan-2018,5.977,5.999,5.939,5.947,0
ARSMXN,11-Jan-2018,1.0342,1.0414,1.028,1.028,0
ARSSGD,11-Jan-2018,0.0716,0.0716,0.0711,0.0711,0
ARSUSD,11-Jan-2018,0.0537,0.0538,0.0535,0.0535,0
ARSZAR,11-Jan-2018,0.667,0.6709,0.6622,0.6622,0
AUDAED,11-Jan-2018,2.89,2.9,2.89,2.9,0
AUDARS,11-Jan-2018,14.6193,14.7645,14.6178,14.7489,0
AUDBRL,11-Jan-2018,2.5296,2.5435,2.5296,2.5341,0
AUDCAD,11-Jan-2018,0.9842,0.9905,0.9842,0.9874,0
AUDCHF,11-Jan-2018,0.7667,0.7729,0.7665,0.7693,0
AUDCNH,11-Jan-2018,5.116,5.1435,5.1134,5.1175,0
AUDCNY,11-Jan-2018,5.0993,5.1267,5.0992,5.1151,0
AUDCZK,11-Jan-2018,16.744,16.847,16.664,16.683,0
AUDDKK,11-Jan-2018,4.8837,4.913,4.8631,4.8759,0
AUDEUR,11-Jan-2018,0.6558,0.6598,0.6531,0.6548,0
AUDFJD,11-Jan-2018,1.5876,1.5979,1.5876,1.5882,0
AUDGBP,11-Jan-2018,0.5807,0.5848,0.5806,0.5823,0
AUDHKD,11-Jan-2018,6.1335,6.1759,6.1335,6.1686,0
AUDHUF,11-Jan-2018,202.65,203.89,201.84,201.97,0
AUDIDR,11-Jan-2018,10435,10580.9,10321.3,10341,0
AUDILS,11-Jan-2018,2.6865,2.6982,2.6856,2.695,0
AUDINR,11-Jan-2018,49.869,50.233,49.845,50.178,0
AUDJPY,11-Jan-2018,87.383,88.085,87.383,87.805,0
AUDKRW,11-Jan-2018,839.02,843.8,836.87,840.03,0
AUDMXN,11-Jan-2018,15.1226,15.2984,15.1226,15.1462,0
AUDMYR,11-Jan-2018,3.1381,3.1486,3.1329,3.1362,0
AUDNOK,11-Jan-2018,6.329,6.3614,6.31,6.3127,0
AUDNZD,11-Jan-2018,1.0884,1.0955,1.0851,1.0855,0
AUDPHP,11-Jan-2018,39.541,39.644,39.514,39.638,0
AUDPKR,11-Jan-2018,86.668,87.078,86.668,87.051,0
AUDPLN,11-Jan-2018,2.7389,2.7539,2.7255,2.7277,0
AUDSEK,11-Jan-2018,6.4243,6.4565,6.3993,6.4109,0
AUDSGD,11-Jan-2018,1.0462,1.0514,1.0448,1.0481,0
AUDTHB,11-Jan-2018,25.174,25.27,25.154,25.21,0
AUDTRY,11-Jan-2018,2.9777,2.9957,2.973,2.9749,0
AUDTWD,11-Jan-2018,22.636,22.636,22.54,22.54,0
AUDUSD,11-Jan-2018,0.7842,0.7896,0.7842,0.7885,0
AUDZAR,11-Jan-2018,9.7482,9.8365,9.7482,9.7714,0
AWGUSD,11-Jan-2018,0.5557,0.5557,0.5554,0.5554,0
BDTGBP,11-Jan-2018,0.0087,0.0088,0.0087,0.0088,0
BDTJPY,11-Jan-2018,1.3143,1.3242,1.3143,1.3242,0
BGNCNY,11-Jan-2018,3.973,4.0021,3.9699,3.9891,0
BGNDKK,11-Jan-2018,3.7927,3.8005,3.7927,3.7929,0
BGNPLN,11-Jan-2018,2.1343,2.1353,2.1296,2.1299,0
BGNUSD,11-Jan-2018,0.6086,0.6149,0.6086,0.6129,0
BHDEUR,11-Jan-2018,2.205,2.2058,2.1909,2.191,0
BHDPKR,11-Jan-2018,294.47,295.36,293.51,293.51,0
BHDUSD,11-Jan-2018,2.6351,2.6372,2.6348,2.6367,0
BNDGBP,11-Jan-2018,0.5448,0.5571,0.5448,0.5497,0
BRLARS,11-Jan-2018,5.7721,5.8207,5.7469,5.8155,0
BRLAUD,11-Jan-2018,0.3945,0.3949,0.3923,0.394,0
BRLCAD,11-Jan-2018,0.3882,0.3891,0.3878,0.389,0
BRLCHF,11-Jan-2018,0.3028,0.3038,0.3012,0.3035,0
BRLEUR,11-Jan-2018,0.2589,0.2593,0.2566,0.2581,0
BRLHKD,11-Jan-2018,2.4206,2.4305,2.4156,2.4303,0
BRLJPY,11-Jan-2018,34.511,34.636,34.459,34.605,0
BRLKRW,11-Jan-2018,331.448,332.385,329.268,331.275,0
BRLMXN,11-Jan-2018,5.9733,6.0078,5.9638,5.9737,0
BRLRUB,11-Jan-2018,17.656,17.656,17.528,17.552,0
BRLSEK,11-Jan-2018,2.537,2.537,2.5185,2.5259,0
BRLSGD,11-Jan-2018,0.4129,0.413,0.4113,0.413,0
BRLUSD,11-Jan-2018,0.3096,0.311,0.3088,0.3108,0
BRLZAR,11-Jan-2018,3.8464,3.8564,3.8439,3.8476,0
BWPCHF,11-Jan-2018,0.0972,0.0982,0.0972,0.0982,0
BWPEUR,11-Jan-2018,0.0831,0.0836,0.0831,0.0836,0
BWPGBP,11-Jan-2018,0.0735,0.0743,0.0735,0.0743,0
BWPUSD,11-Jan-2018,0.0993,0.1006,0.0993,0.1006,0
BWPZAR,11-Jan-2018,1.2517,1.2715,1.2482,1.2626,0
CADAED,11-Jan-2018,2.9304,2.9345,2.9172,2.9314,0
CADARS,11-Jan-2018,14.8645,14.9364,14.8097,14.9288,0
CADAUD,11-Jan-2018,1.0167,1.0167,1.0094,1.0126,0
CADBRL,11-Jan-2018,2.5711,2.5738,2.5642,2.5653,0
CADCHF,11-Jan-2018,0.78,0.7816,0.7755,0.779,0
CADCNH,11-Jan-2018,5.222,5.222,5.186,5.186,0
CADCNY,11-Jan-2018,5.1852,5.1882,5.163,5.1779,0
CADDKK,11-Jan-2018,4.9693,4.9693,4.9219,4.9374,0
CADEUR,11-Jan-2018,0.6673,0.6673,0.6609,0.663,0
CADGBP,11-Jan-2018,0.5904,0.5909,0.5881,0.5894,0
CADHKD,11-Jan-2018,6.2402,6.2494,6.2147,6.2438,0
CADIDR,11-Jan-2018,10615.1,10708.1,10446.7,10471.3,0
CADILS,11-Jan-2018,2.732,2.732,2.7196,2.7277,0
CADINR,11-Jan-2018,50.719,50.823,50.57,50.791,0
CADISK,11-Jan-2018,83.5348,83.5348,82.6399,82.8738,0
CADJPY,11-Jan-2018,88.908,89.125,88.554,88.886,0
CADKRW,11-Jan-2018,853.18,853.94,847.49,850.27,0
CADKWD,11-Jan-2018,0.2402,0.2406,0.239,0.2405,0
CADMXN,11-Jan-2018,15.377,15.49,15.336,15.336,0
CADMYR,11-Jan-2018,3.1924,3.1924,3.1675,3.1744,0
CADNOK,11-Jan-2018,6.4371,6.4371,6.3842,6.3921,0
CADNZD,11-Jan-2018,1.1071,1.1088,1.0974,1.0982,0
CADPKR,11-Jan-2018,88.741,88.741,88.076,88.089,0
CADPLN,11-Jan-2018,2.7849,2.7867,2.7577,2.7617,0
CADRUB,11-Jan-2018,45.51,45.51,45.037,45.137,0
CADSEK,11-Jan-2018,6.537,6.537,6.4756,6.4847,0
CADSGD,11-Jan-2018,1.064,1.064,1.0583,1.061,0
CADTHB,11-Jan-2018,25.61,25.61,25.433,25.515,0
CADTRY,11-Jan-2018,3.03,3.03,3.004,3.0121,0
CADTWD,11-Jan-2018,22.999,22.999,22.8,22.8,0
CADUSD,11-Jan-2018,0.7978,0.7989,0.7943,0.7982,0
CADZAR,11-Jan-2018,9.9177,9.9498,9.8576,9.8837,0
CDFUSD,11-Jan-2018,0.0006,0.0006,0.0006,0.0006,0
CHFAED,11-Jan-2018,3.7535,3.7633,3.7507,3.7633,0
CHFARS,11-Jan-2018,19.0567,19.1679,18.9931,19.1593,0
CHFAUD,11-Jan-2018,1.3031,1.3042,1.2935,1.2995,0
CHFBRL,11-Jan-2018,3.2968,3.3128,3.2894,3.2904,0
CHFBWP,11-Jan-2018,10.012,10.012,9.9131,9.9131,0
CHFCAD,11-Jan-2018,1.2818,1.2894,1.2792,1.2832,0
CHFCNH,11-Jan-2018,6.668,6.668,6.666,6.666,0
CHFCNY,11-Jan-2018,6.6469,6.67,6.6277,6.6449,0
CHFCZK,11-Jan-2018,21.837,21.837,21.673,21.681,0
CHFDKK,11-Jan-2018,6.3699,6.3699,6.328,6.3395,0
CHFEUR,11-Jan-2018,0.8554,0.8555,0.8505,0.8512,0
CHFGBP,11-Jan-2018,0.7568,0.759,0.7554,0.7566,0
CHFHKD,11-Jan-2018,7.9997,8.035,7.9706,8.0134,0
CHFHUF,11-Jan-2018,264.323,264.323,262.32,262.595,0
CHFIDR,11-Jan-2018,13606.4,13738.1,13444.1,13444.4,0
CHFILS,11-Jan-2018,3.5016,3.5093,3.4905,3.5013,0
CHFINR,11-Jan-2018,65.009,65.376,64.884,65.186,0
CHFISK,11-Jan-2018,106.75,106.75,106.31,106.39,0
CHFJPY,11-Jan-2018,113.952,114.495,113.779,114.066,0
CHFKRW,11-Jan-2018,1093.68,1094.17,1089.72,1091.13,0
CHFMXN,11-Jan-2018,19.711,19.936,19.639,19.682,0
CHFMYR,11-Jan-2018,4.0925,4.0989,4.0664,4.0741,0
CHFNOK,11-Jan-2018,8.2509,8.2518,8.2006,8.2063,0
CHFNZD,11-Jan-2018,1.4188,1.4224,1.4088,1.4115,0
CHFPKR,11-Jan-2018,113.743,113.746,112.533,112.597,0
CHFPLN,11-Jan-2018,3.5699,3.5728,3.5412,3.5464,0
CHFRON,11-Jan-2018,3.9629,3.9629,3.9424,3.9469,0
CHFRUB,11-Jan-2018,58.347,58.393,57.779,57.919,0
CHFSEK,11-Jan-2018,8.3788,8.3788,8.3201,8.3256,0
CHFSGD,11-Jan-2018,1.3638,1.3665,1.3592,1.3618,0
CHFSZL,11-Jan-2018,12.639,12.639,12.486,12.486,0
CHFTHB,11-Jan-2018,32.824,32.828,32.621,32.75,0
CHFTRY,11-Jan-2018,3.884,3.8943,3.8572,3.8664,0
CHFTWD,11-Jan-2018,29.497,29.497,29.26,29.26,0
CHFUSD,11-Jan-2018,1.0227,1.0274,1.0186,1.0244,0
CHFUZS,11-Jan-2018,8356.3,8356.3,8270.6,8273.2,0
CHFZAR,11-Jan-2018,12.7129,12.796,12.668,12.6832,0
CLPEUR,11-Jan-2018,0.0014,0.0014,0.0014,0.0014,0
CLPGBP,11-Jan-2018,0.0012,0.0012,0.0012,0.0012,0
CLPUSD,11-Jan-2018,0.0016,0.0017,0.0016,0.0017,0
CNHHKD,11-Jan-2018,1.1991,1.2051,1.1985,1.205,0
CNHIDR,11-Jan-2018,2060,2063,2060,2063,0
CNHINR,11-Jan-2018,9.761,9.8,9.761,9.8,0
CNHJPY,11-Jan-2018,17.0787,17.1667,17.0734,17.145,0
CNHKRW,11-Jan-2018,163.8,164,163.8,164,0
CNHPHP,11-Jan-2018,7.748,7.748,7.7476,7.7476,0
CNHTHB,11-Jan-2018,4.933,4.933,4.921,4.921,0
CNHTWD,11-Jan-2018,4.534,4.536,4.534,4.536,0
CNYAUD,11-Jan-2018,0.1958,0.1958,0.1945,0.1953,0
CNYBGN,11-Jan-2018,0.251,0.2518,0.2497,0.2499,0
CNYCAD,11-Jan-2018,0.1926,0.1934,0.1924,0.1929,0
CNYCHF,11-Jan-2018,0.1502,0.1508,0.1497,0.1503,0
CNYDKK,11-Jan-2018,0.9559,0.9582,0.9506,0.9515,0
CNYEUR,11-Jan-2018,0.1284,0.1287,0.1276,0.1278,0
CNYGBP,11-Jan-2018,0.1137,0.1142,0.1135,0.1137,0
CNYHKD,11-Jan-2018,1.2018,1.2102,1.1996,1.2043,0
CNYJPY,11-Jan-2018,17.098,17.179,17.077,17.122,0
CNYKRW,11-Jan-2018,164.32,164.56,163.52,163.97,0
CNYNZD,11-Jan-2018,0.2132,0.2136,0.2117,0.2122,0
CNYPLN,11-Jan-2018,0.5364,0.5372,0.5325,0.5331,0
CNYUSD,11-Jan-2018,0.1536,0.1547,0.1534,0.154,0
CNYZAR,11-Jan-2018,1.9085,1.9202,1.9014,1.9059,0
COPDKK,11-Jan-2018,0.0021,0.0021,0.0021,0.0021,0
COPPLN,11-Jan-2018,0.0012,0.0012,0.0012,0.0012,0
CRCGBP,11-Jan-2018,0.0013,0.0013,0.0013,0.0013,0
CYPZAR,11-Jan-2018,25.396,25.638,25.314,25.469,0
CZKCHF,11-Jan-2018,0.0457,0.0461,0.0457,0.0461,0
CZKDKK,11-Jan-2018,0.2913,0.2919,0.2911,0.2919,0
CZKEUR,11-Jan-2018,0.0391,0.0392,0.0391,0.0392,0
CZKJPY,11-Jan-2018,5.211,5.2568,5.2099,5.2531,0
CZKMXN,11-Jan-2018,0.9015,0.9149,0.8998,0.907,0
CZKNOK,11-Jan-2018,0.3774,0.3788,0.3765,0.3779,0
CZKPLN,11-Jan-2018,0.1632,0.1635,0.1631,0.1633,0
CZKSEK,11-Jan-2018,0.3834,0.3847,0.3827,0.3836,0
CZKUSD,11-Jan-2018,0.0468,0.0472,0.0466,0.0472,0
DJFGBP,11-Jan-2018,0.0041,0.0041,0.0041,0.0041,0
DKKAED,11-Jan-2018,0.5891,0.5931,0.5889,0.5931,0
DKKAUD,11-Jan-2018,0.2046,0.2056,0.2035,0.2051,0
DKKBGN,11-Jan-2018,0.2616,0.2622,0.2616,0.2616,0
DKKCAD,11-Jan-2018,0.2013,0.2031,0.2012,0.2025,0
DKKCHF,11-Jan-2018,15.695,15.784,15.659,15.776,0
DKKCNY,11-Jan-2018,1.0435,1.0515,1.0426,1.0481,0
DKKCOP,11-Jan-2018,462.35,462.35,455.95,455.95,0
DKKCZK,11-Jan-2018,3.428,3.43,3.42,3.421,0
DKKEUR,11-Jan-2018,0.1343,0.1343,0.1342,0.1343,0
DKKGBP,11-Jan-2018,0.1188,0.1197,0.1188,0.1194,0
DKKHKD,11-Jan-2018,1.2557,1.2665,1.2532,1.2651,0
DKKHUF,11-Jan-2018,41.492,41.535,41.403,41.418,0
DKKINR,11-Jan-2018,10.2293,10.31,10.2047,10.2894,0
DKKISK,11-Jan-2018,16.756,16.813,16.751,16.783,0
DKKJPY,11-Jan-2018,17.8841,18.0341,17.8837,17.9953,0
DKKMXN,11-Jan-2018,3.0947,3.1393,3.0892,3.1074,0
DKKMYR,11-Jan-2018,0.6424,0.6455,0.6391,0.6426,0
DKKNOK,11-Jan-2018,1.2952,1.3,1.2922,1.2942,0
DKKNZD,11-Jan-2018,0.2227,0.2237,0.2218,0.2227,0
DKKPHP,11-Jan-2018,8.0907,8.1377,8.0539,8.1143,0
DKKPKR,11-Jan-2018,17.764,17.931,17.725,17.759,0
DKKPLN,11-Jan-2018,0.5604,0.5611,0.5592,0.5594,0
DKKSEK,11-Jan-2018,1.3154,1.3191,1.3124,1.3133,0
DKKSGD,11-Jan-2018,0.2141,0.2153,0.2137,0.215,0
DKKTHB,11-Jan-2018,5.157,5.1796,5.1281,5.1764,0
DKKTRY,11-Jan-2018,0.6097,0.6135,0.6069,0.6101,0
DKKTWD,11-Jan-2018,4.6306,4.6306,4.6141,4.6141,0
DKKUAH,11-Jan-2018,4.5288,4.5288,4.5255,4.5255,0
DKKUSD,11-Jan-2018,0.1605,0.1619,0.1602,0.1617,0
DKKZAR,11-Jan-2018,1.9958,2.0148,1.9908,2.0004,0
DOPGBP,11-Jan-2018,0.0152,0.0154,0.0152,0.0154,0
DZDEUR,11-Jan-2018,0.0073,0.0073,0.0072,0.0072,0
DZDUSD,11-Jan-2018,0.0087,0.0087,0.0087,0.0087,0
EGPEUR,11-Jan-2018,0.0472,0.0473,0.0468,0.0469,0
EGPJPY,11-Jan-2018,6.278,6.308,6.271,6.272,0
EGPPKR,11-Jan-2018,6.255,6.255,6.247,6.247,0
EGPUSD,11-Jan-2018,0.0563,0.0564,0.0563,0.0564,0
ETBGBP,11-Jan-2018,0.0267,0.027,0.0267,0.027,0
EURAED,11-Jan-2018,4.389,4.422,4.382,4.419,0
EURAFN,11-Jan-2018,83.94,83.94,83.5,83.5,0
EURALL,11-Jan-2018,130.96,130.96,130.9,130.9,0
EURAMD,11-Jan-2018,552.28,552.28,548.07,548.07,0
EURARS,11-Jan-2018,22.2746,22.523,22.2385,22.5074,0
EURAUD,11-Jan-2018,1.5239,1.5312,1.5152,1.5271,0
EURBAM,11-Jan-2018,1.9458,1.9458,1.9458,1.9458,0
EURBBD,11-Jan-2018,2.3531,2.3531,2.3412,2.3412,0
EURBDT,11-Jan-2018,97.674,97.674,97.511,97.511,0
EURBGN,11-Jan-2018,1.9484,1.9528,1.9481,1.9485,0
EURBHD,11-Jan-2018,0.4476,0.4509,0.4472,0.4506,0
EURBIF,11-Jan-2018,2082.36,2082.36,2071.43,2071.43,0
EURBND,11-Jan-2018,1.5738,1.604,1.567,1.567,0
EURBOB,11-Jan-2018,8.126,8.126,8.053,8.053,0
EURBRL,11-Jan-2018,3.8538,3.8876,3.8509,3.8641,0
EURBSD,11-Jan-2018,1.1936,1.1936,1.1874,1.1874,0
EURBWP,11-Jan-2018,11.7093,11.7093,11.642,11.642,0
EURBZD,11-Jan-2018,2.3632,2.3632,2.3507,2.3507,0
EURCAD,11-Jan-2018,1.4998,1.5129,1.4985,1.5081,0
EURCHF,11-Jan-2018,1.169,1.1757,1.1689,1.175,0
EURCLP,11-Jan-2018,714.35,714.35,713.02,713.02,0
EURCNH,11-Jan-2018,7.7972,7.8346,7.774,7.8145,0
EURCNY,11-Jan-2018,7.7685,7.8324,7.7621,7.8073,0
EURCOP,11-Jan-2018,3443,3443,3396,3396,0
EURCRC,11-Jan-2018,666.49,666.49,662.96,662.96,0
EURCUP,11-Jan-2018,1.171,1.171,1.164,1.164,0
EURCVE,11-Jan-2018,110.27,110.27,110.27,110.27,0
EURCZK,11-Jan-2018,25.5257,25.5558,25.4753,25.4764,0
EURDJF,11-Jan-2018,207.93,207.93,206.83,206.83,0
EURDKK,11-Jan-2018,7.4465,7.4477,7.4456,7.4469,0
EURDOP,11-Jan-2018,57.38,57.38,57.078,57.078,0
EURDZD,11-Jan-2018,136.659,137.532,136.659,137.419,0
EUREGP,11-Jan-2018,21.144,21.298,21.11,21.292,0
EURETB,11-Jan-2018,32.6517,32.6517,32.4817,32.4817,0
EURFJD,11-Jan-2018,2.4211,2.4391,2.411,2.4239,0
EURGBP,11-Jan-2018,0.8849,0.8911,0.8847,0.8894,0
EURGHS,11-Jan-2018,5.4436,5.4436,5.4153,5.4153,0
EURGNF,11-Jan-2018,10744.6,10744.6,10687.9,10687.9,0
